feedbacks,topics
they have not sent a new one nor called .,
Good price .,price
"We did n't because it was already over 2,400 dollars !",
"My parents bought it for me as a graduation gift , and i 'm totally ( almost kind of maybe definitely ) obsessed with it .",
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer .,features
I would recommend not buying this product .,
I love the Apple products .,
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone .,hard drive
"The computer itself was fast , ran smoothly , and had no problems .",ran
"The best thing to do is build your own computer , but if u ca n't company 's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $ 2000 systems and if you google `` dell coupons '' you can find codes that take a signifant amount off the price .","components, price, price"
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista ( I should have waited the few months to get the next operating system ) .","Vista, Vista, Vista, operating system"
I have owned many computers and laptops .,
"The best thing is even while doing almost ten or twenty things at once , it never slows down .",
Bought this gateway M- 50 or 150 early 2007 .,
I guess he was the technical person .,technical person
"Sorry , newegg .",
It allows you to automatically upload photos to your Facebook account with one click .,
This is a nicely sized laptop with lots of processing power and long battery life .,"sized, processing power, battery life"
"They went through asking me open up various components , taking battery out , hard disk apart , and after 2 hours on phone could not fix it .","battery, hard disk"
Runs Hot I thought we were paying for quality in our decision to buy an Apple product .,quality
) only to get another `` HP/ Compaq '' piece of crap .,
even though I had the receipt in front of me proving it still had 2 months left on the warranty .,warranty
: ) In the past four years I 've had it I have never once gotten a virus .,
Received the product promptly and without any issues .,
"Despite the inconvenient weight , I opted for the 12 cell battery .","weight, 12 cell battery"
"The apple care has never failed me , and I expect it to be the same for this computer as well .",apple care
The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing .,
I 'm pleased .,
"More times that not the screen pops up saying I have a bad internet connection , or the page ca n't be displayed .",internet connection
That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought .,
Never been hacked .,
I have had some excellent computer and have found I had no idea what to do with them,
If only Bill Gates would read some of what is said here MS would do a better job .,
I now own another Hewlitt Packard .,
Back then my entire family was Devoted to the Sony name .,
"I contacted Acer and they are giving me FREE recovery DVDs , so do n't go and pay for them , just ask for them and they should give them to you .",recovery DVDs
"But to be honest , I do n't use my computer for anything like graphics editing and complex data analysis and gaming .","graphics editing, complex data analysis, gaming"
"They told me it was my loss even though it was the computer , not what I 've done .",
"I love my Samsung TV and Galaxy S smartphone , but this Netbook was a very poor computer .",
I loved the netbook ( minus the fact that it was windows OS ) until this started happening .,windows OS
"I chose the iBookG4 , a laptop that is an attractive computer with a large screen big enough to please anyone .",screen
"I was loving this Netbook because it had an amazing screen and display and was small and light , but after 1 week it stopped openning web pages for me ( even after installing new browsers ) then eventually it just started giving me a blue screen and crashing everytime I booted it .","screen, display, browsers"
very very slow laptop .,
Acer wo n't replace the laptop .,
One of the smartest thing I did was take my time to compare laptops before making my purchase .,
The computer first started malfunctioning 3 months after purchasing it .,
They discovered the manufacturer 's defect and sent it in for repair .,
"The screen is nice , side view angles are pretty good .",screen
We were PC users .,
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late !,
"i asked many people , search on the net and also read reviews here in best buy .",
"Suffice it to say , my MacBook Pro keeps me going with its long battery life and blazing speed .","battery life, speed"
I took off a star because the machine has a lot of junk software on it .,software
I can not be happier with the service or product .,service
its not bad just VERY VERY annoying .,
) I also tried the touch pad and compared it to other netbooks in the store .,touch pad
I did a lot of research and ended up thinking this Toshiba was the best one for me .,
"Actually , I had noticed the one on the sales floor also did n't have sound !",sound
of course my warranty runs out next month .,warranty
Battery life needs more life .,Battery life
"The price premium is a little much , but when you start looking at the features it is worth the added cash .","price premium, features"
"And if you do a lot of writing , editing is a problem since there is no forward delete key .","editing, delete key"
"When you look at the specs on Apple products in comparison to a Dell or a HP , yes they do seem to offer less for a higher cost .",cost
"That 's very possible , but since they do n't make Windows XP drivers for the sound card in this machine , I was stuck until Windows 7 came out .","Windows XP drivers, sound card, Windows 7"
"WHEN TYPING , LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES .",TYPING
As a graphic arts a retired instructor I still love to play with the graphic with photos and clip art ... ..,
It 's fast and has excellent battery life .,battery life
"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .","cooling system, use"
My next laptop will also be a Mac !,
I have not have any problems .,
Me and my boyfriend bought the Gateway NV78 in nov of 09 .,
"Some days it 's just blurry , some days it appears that it 's raining on my nice desktop background of a lake and mountains .",
It was truly a great computer costing less than one thousand bucks before tax .,costing
Best Buy Rocks !,
There are so many wonderful features and benefits to the new MacBook !,features
"Great value , fast delivery - Computer works as if brand new , no problems , very pleased","value, delivery"
That system is fixed .,system
do not buy you will be disappointed .,
"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .",battery
Later it held zero charge and its replacement worked for less than three months .,charge
"The reality was , it heated up very quickly , and took way too long to do simple things , like opening my Documents folder .",opening my Documents folder
"When I got it , I immediately noticed that it was quite heavy and thick and not really attractive .",
"My Toshiba did not have sound on everything , just certain things .",sound
"The only thing that I have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .",key broad
HP did n't fix it .,
It is the easiest computer I have ever used,
But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE ! ! !,
"Anyway , in early July of this year , the DVD burner stopped working , and the computer stared having issues with power supply .","DVD burner, power supply"
My problem was with DELL Customer Service .,DELL Customer Service
Enough said .,
So i would not reccomend anyone buying this computer,
My last laptop gave me a constant battle even though it was also completely new .,
"By week two , my laptop had overheated and was completely dead even though I did not use it too much .",
"To this day , there are NONE .",
You have to toss out the wifi card and replace it just to have any sort of network capability .,"wifi card, network capability"
"I reloaded with Windows 7 Ultimate , and the Bluetooth and Fingerprint reader ( software ) would not load .","Windows 7 Ultimate, Bluetooth, Fingerprint reader, software"
I can see why the have soooo much money .,
"Garageband is more for the musicians , and the laptop is equipped with a good working microphone , good enough for beginners and musicians at the intermediate level .","Garageband, microphone"
"Also , my sister got the exact same laptop ( since they were so cheap ) and after 8 months , the screen split in half just from everyday use .",screen
"what an elegant , wonderful machine .",
I would say if you want to buy one of these machines be careful .,
The unibody design is edgy and durable .,unibody design
"The video card is great for media , and above average for gaming , but not a gamers first choice .","video card, media, gaming"
With Windows laptops a wireless mouse is an absolute must .,wireless mouse
* 6th week* - They are not responding to my emails asking when they expect to dispatch the new unit ...,
All I can say is W- O- W .,
I have recommended this laptop to everyone I know who is buying one .,
Will certainly use MacConnection again .,
Stay away from Envy .,
"A little pricey but it is well , well worth it .",
"4 ) Laptop still did not work , blue screen within a week ...",work
Wonderful sleek case design is only on the outside .,case design
We have n't had any problems with it at all .,
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !","features, iChat, Photobooth, garage band"
"I feel that it was poorly put together , because once in a while different plastic pieces would come off of it .",plastic pieces
I would not recommend this product to anyone .,
"I love the size , keyboard , the functions .","size, keyboard, functions"
I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months !,
The battery life is also relatively good .,battery life
- I propose that I can just swap the hard drives .,hard drives
For the use it was purchased for it is a good Laptop .,
"the mouse on the pad , the left button always sticks .","mouse on the pad, left button"
1st time they got it working the next 5 month they had me send it in .,
It 's slow and one day i hope to have the money to get rid of it and buy something else .,
"We use the built in tools often , iTunes is open nearly every day and works great with my iPhone .","built in tools, iTunes"
Note that I do n't ordinarily take the time to write a review .,
"i would never go back any more , i love this computer so much and i would recommend it to everyone .",
( The iBook backup also uses a firewire connection ) .,"iBook backup, firewire connection"
This is basically the best laptop I have ever had or used .,
"Until I bought the Dell , I thought you just looked for what you wanted ( size , software , options , hardware ) and purchase the best deal you could find .","size, software, hardware"
"The only thing that is n't perfect about this netbook is the speakers , they are not loud at all but I expected that .",speakers
"After 4 days , being denied 6 times and told off once , I managed to get through and was able to send them a scanned copy of the receipt .",
The overall build quality of the unit is excellent and she 'd recommend it to anyone else looking for a netbook .,build quality
I had read online that some users were having sound problems .,sound
"There are no gold key numbers too intall programs , you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time .",programs
"Waited on getting this computer , but it has been a great change .",
It 's outstanding too .,
"Because we did not purchase the extended warranty in time , we are on the hook for the repair .",extended warranty
"might have to buy one for me now , since I use it all the time .",
"I bought it from HSN because it was `` bundled '' with extra software , but as it turns out , that software just crashes it more often ... ..","software, software"
it has times were it freezes for 10 seconds and then starts again .,
I tried to upgrade it to a newer version a couple of months ago and I still have the same problem .,
Keyboard is reasonable size .,"Keyboard, size"
"This laptop looks great on the surface : 17 '' inch screen , good price - point , nice appearance , boots up quickly , runs fast etc .","17 '' inch screen, price - point, appearance, boots up, runs"
My Mac is much more efficient than a PC so it does not need the extra bells and whistles to compete .,
The difference is phenomenal .,
The computer is a dream come true .,
"I actually had the hard drive replaced twice , the mother board once , the dvd drive twice , then they FINALLY agreed to replace it , ( ALL OF THIS IN LESS THAN 1 1 / 2 YEARS !","hard drive, mother board, dvd drive"
All for such a great price .,price
The only problem is a lack of screen resolutions !,screen resolutions
"I gave it to my daughter because I just hated the screen , hated that it had no cd drive to at least play cd 's when I wanted to listen to music and do schoolwork .","screen, cd drive"
The brand is tarnished in my heart .,brand
I or my dad paid over twenty four hundred dollars for everything .,
My macbook is so much better looking and so thin !,looking
The magnetic plug - in power charging power cord is great ( I even put it to the test by accident ) - excellent innovation !,magnetic plug - in power charging power cord
About 1/ 2 of the sites I need to visit because of my work contain some type of Flash .,
I also experience the same with my MacBook Air .,
They also use two totally different operating systems .,operating systems
"( I had been a Windows / Linux user before this ) I love the size because the screen is big enough for what I use it for ( Internet , artwork ) , and yet it is small enough to be reasonably portable .","Windows, Linux, size, screen"
I would definitely recommend checking out this laptop if you are in the market for one .,
"Summary : After doing some investigation on the web , I have found that Toshiba NB205s are not chronically not booting .",
We decided we would try to trade- in our old ones .,
the mouse buttons are hard to push .,mouse buttons
I sit down and use my husband 's work PC and I do n't like it one bit .,
"I 'm not going to lie , I 've never really liked the Acer brand in general .",
"It is , however , very heavy .",
THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE- - - - BROUGHT IT BACK TO STORE FOR RETURN OF MONEY .,
VERY disappointing :,
Should be there by the end of the week ( again ... ) .,
"Please , anyone who is considering getting this computer , stop .",
Speakers too small to be of any real use .,Speakers
"If what you need is a machine to do some surfing , email checking , word processing , and watching a movie or two , this is the machine you want .","surfing, word processing"
"Also , I have had alot of trouble with the keys sticking and will not type correctly .",keys
"No , tey do n't even support their own bios and it `` could be a problem with the bios `` How can a company that makes a fairly decent product get away with such insanity ? ? ! !","bios, bios"
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better .,"video chat, quality"
Theres a built in camera with special effects - for video and photography .,built in camera
It was n't worth it .,
"It was still working , but there was nothing on the screen .",screen
This computer that I have has had issues with the keyboard where it lost half the keyboard functions .,"keyboard, keyboard functions"
I will be patient for few months .,
Small and light weight .,
"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .","use, gaming"
I have had my new Macbook Pro i5 for a couple of days and have recycled ALL of my old PC laptops .,
Was searching online for a power supply when I found this site .,power supply
"I saw this one , and I have the most difficult time trying to use them , they 've made great dust collectors , I hate putting this computer down",
After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid .,warranty
I took it back to the store and exchanged it for another one .,
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING ! ! !,"PORTABILITY, PROCESSING"
I had finally reached my limit and broke down .,
I love everything about it .,
"I can do everything I could before , only faster and more efficiently .",
"No luck , although I waited for hours on the phone - Visited MacHouse , they stated the their call center is down due to too many phonecalls ( difficult to believe ) .",call center
I Love my new computer !,
I had to have these computers in my school .,
I really wish I had done this years ago .,
"The Apple applications ( ex . iPhoto ) are fun , easy , and really cool to use ( unlike the competition ) !","Apple applications, iPhoto"
I have owned many different brands of laptops in my life .,
"So I called , AGAIN .",
"Maybe this is virus related , maybe not , but the computer has locked up many times , and on two occasions , the screen has simply gone black .",screen
I am sorry that I purchased this laptop .,
It 's face and depanable .,
"We now own two of these , identical .",
"The PhotoBooth is a great program , it takes very good pictures with the built - in camera .","PhotoBooth, program, built - in camera"
They should have included more memory on their computers if they knew Vista would run slowly .,"memory, Vista"
"It was slow , locked up , and also had hardware replaced after only 2 months !",hardware
for being so small it is amazing that it is as fast as it is .,
No machine has come remotely close to causing as many problems .,
dell is a decently made pc .,
after much effort and 10 days ASUS replaced itThe WiFi is very weak .,WiFi
"Other installed features , such as certain printer software , are also most attractive .","features, printer software"
It still serves me well both in business and home needs .,
Summary : HP knew they were shipping out bad BIOS and did nothing proactive to resolve it .,BIOS
"Since I never really got to use this , I ca n't comment on anything except what went wrong after trying 2 of them .",
"I acually believe the issue is with the Nvidia grafics card , but still requires a return .",Nvidia grafics card
1 ) Payed $ 2200 for a `` premium '' laptop,
"It works great for general internet use , Microsoft Office apps , home bookkeeping , etc .","internet use, Microsoft Office apps"
"So , I paid a visit to LG notebook service center at Alexandra Road , hoping they can make the hinge tighter .","LG notebook service center, hinge"
I can guarantee this will be the last Dell I will ever purchase !,
"Otherwise , I love it !",
"Theres also iDVD , a program dedicated to putting all your favorite media together - photos , recordings , video projects into one program so that you can create the perfect memoir for your parents , family , siblings , and any other person important in your life that there may be .","iDVD, program, program"
This is the complete opposite to an ergonomic design .,design
They are closed at 9pm eastern .,
"The 4 USB ports are nice , but the two on the side only work now and then .",USB ports
"If you can afford a new laptop , and are in the market for one , of course , then definitely go for this .",
It is her first laptop and she is thrilled .,
"Looking to take my video and photo editing to the next level , I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop .",
"With awesome graphics and assuring security , it 's perfect !","graphics, security"
But if you 're willing to pay another 200 dollar for a windows disc .,windows disc
This is another reason to like the Mac .,
its more like a snail crawl .,
So buyer beware when buying Toshiba,
"My MacBook Pro works like a dream , it has never overheated , or even been slightly warm for that matter .",works
I dual boot with Linux and that other security - prone OS and it performs flawlessly .,"Linux, security - prone OS, performs"
Good luck with your purchase options .,
I am ADDICTED to photo booth !,photo booth
"It is well worth the money it cost , Very good investment .",cost
Seems like maybe a bad shipment from Toshiba .,shipment
Downfalls : sharp edges .,edges
I sent it to them to fix in perfect condition but for what was wrong with it .,
I just recently had to ship my laptop back to HP for repair .,
"However , the multi - touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","multi - touch gestures, tracking area, external mouse, gaming"
The cool thing about this is anyone can use it .,
Best Buy was great as always and accepted the return and gave me another model 1764 .,
"Took me 11 hours , 3 trips to different FedEx offices , and brutal conversations with 14 of the worse IT support technicians in the world .",IT support technicians
With a MAC computer I have more free time as I do n't have to wait for windows to boot up or shut down and all the viruses associated with windows .,"windows, boot up, shut down, windows"
It would be a load on long trips where a lot of walking is required .,
"my information was all lost ( my fault , I know , but I never thought I would need to back up my information on a brand new Mac , the paragon of all computers !",
Very disappointed !,
STOPPED BOOTING UP less than a week after my one - year warranty was up .,"BOOTING UP, one - year warranty"
The only time I have restarted is during system updates .,
"Unless you do n't care how long it takes to get going , find something else .",
"I thought learning the Mac OS would be hard , but it is easily picked up if you are familiar with a PC .",Mac OS
"AND the best part is that it even comes with a free printer ( when they have a certain promotion / offer going , of course ) !",printer
"I have never had it crash , randomly turn off ,",
I went right out and purchased another laptop .,
"In the past few years , I 've had terrible experiences with HP .",
"bought the first asus laptop in san francisco , returned it in santa maria , thinking it was just a problem with that computer .",
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS .,SERVICE FACILITY
At least those computers did n't just die on me like this one .,
"Compared to similarly spec 'd PCs , this machine is good value , well built and works easily right out of the box .","value, built, works"
this is starting off good .,
I was constantly having to roll back the computer after doing updates .,
"In fact , he said , about 10 % of their products fail .",
I do n't use my laptop in a way though that needs a long battery life so it 's perfect for me .,battery life
Comes with iMovie ;,iMovie
"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .","style, speed"
I also travel with it and it never gives me any problems .,
"If you 're looking for something to fly through those massive spreadsheets or play a graphics - intensive game , you 'd be better off getting a machine aimed at that segment of the market .",game
Registration / 1st use is easy .,use
"Great battery , speed , display .","battery, speed, display"
"I can actually get work done with this MAC , and not fight with it like my tired old PC laptop .",
"Being a PC user my whole life , it 's taking a bit of time to adapt to the OS of a Mac but I 'm finding my way around .",OS
"Looks nice , but has a horribly cheap feel .","Looks, feel"
I went with him and we picked this one .,
They freeze all the time .,
It still seems to be a little lose now but so far seems to be hanging in there .,
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles .,warranty
"Eventually my battery would n't charge , so unless I had it plugged in it would n't even power on .",battery
Might not make the avid gamer happy but I do n't really think that is what this computer is designed for .,
"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",system
"The difference is it 's a whole lot of fun using the laptop now , still learning the Apple navigation , but is fun and comes with a lot of cool apps .","Apple navigation, apps"
"Even if Apple replaces whatever needs replacing I wonder if , since I seem to be doubling the amount of time I get out of it each time it 's `` like new , '' I might have 8 months next time .",
Obviously we both got new Macs .,
"Screen , keyboard , and mouse : If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen , responsive island backlit keyboard , and fun multi - touch mouse is worth the extra money to me alone .","Screen, keyboard, mouse, screen, island backlit keyboard, multi - touch mouse"
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds .,speeds
"I paid for extra memory and the 17 - inch screen , as well as the top of the line DVD and CD burners .","memory, 17 - inch screen, DVD, CD burners"
I bought my first MacBook after seeing the product demonstrated .,
Just a black screen !,screen
Best thing is I can use existing 32 bit old programs .,programs
"- Called headquarters again , they report that TFT panel is broken , should be fixed by the end of the week ( week 3 ) .",TFT panel
"The computer loads in about a 1 / 10th of the time that my PC did , and I have all of the programs that were on my PC .","loads, programs"
"Again , I sent it off to Acer , by this time they were paying for me to send it to them and everything , but it was still inconvienent because of my classes and my communication with my fiance .",
I pondered very long over this decision .,
"The graphics and screen are stunning and although I was a PC person , I was able to understand how to use a mac fairly quickly .","graphics, screen"
Good for every day computing and web browsing .,"every day computing, web browsing"
It is just slow slow slow .,
Both computers started acting extremely slow within the first year of owning them .,
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it , but I like the big screen on it .","17 ince screen, screen"
"The battery life seems to be very good , and have had no issues with it .",battery life
The performance is awesome .,performance
THIS IS MY SECOND MAC BOOK PRO .,
Each time taking about 1 day or so .,
"Even though it is running Snow Leopard , 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel .","Snow Leopard, CPU, spinning wheel, Office Mac applications, Word, Excel"
It also came with a built it web cam which is great because I can see an communicate with my family members back home .,built it web cam
It was a total Dhell experience that I will never repeat .,
It weighed like seven pounds or something like that .,"weighed, seven pounds"
"It has no camera but , I can always buy and install one easy .",camera
I practically have a new laptop with all the `` fixes '' they have done !,
The Toshiba Net book operates very well .,operates
This computer literally takes about five minutes to start up and to be able to use without it crawling and I DO mean crawling .,
Hope this helped !,
Love it so far .,
"I do n't do any high tech stuff on it , just write papers , check mail , and sometimes play games , so I ca n't reccomend it if you are in the computer field .",
"Clearly , there is something wrong with the product and LG did n't take up the responsibility .",
The right speaker did not work .,right speaker
"The leather carrying case , keyboard and mouse arrived in two days from Memphis warehouse .","leather carrying case, keyboard, mouse"
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door .,performance
"The screen is nice and the images comes very clear , the keyboard and the fit just feels right .","screen, keyboard, fit"
The screen is gorgeous - yummy good .,screen
"He did n't work for sony , he was just approved to fix their crappy products .",
"Not super fancy , but not super expensive either .",
"I have had at least eight Toshiba laptops , and they have been outstanding , including this one .",
The resolution is even higher then any other laptop on the market .,resolution
"- Complied to their protocol , called number , made `` case '' , got an email address to send complaint .",
After much battling with HP i was able to return it 4 times for repairs .,
I paid about the same for my Toshiba as I did for the compaq a few years back .,
It is quiet and a real joy to watch work .,
They informed me that I had around 7 `` policies '' or viruses on it .,
This one has had the same effect .,
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started .,use
"Love the graphics , awesome programs ( including Garageband ) , and really cool default background .","graphics, programs, Garageband, default background"
Enjoy that Toshib force and durability unparalleled,"force, durability"
I 'have had it for about a 1 1 / 2 and yes I have had an issue with it one month out of warranty .,warranty
I custom ordered the machine from HP and could NOT understand the techie due to his accent .,techie
"I claim that this has no value to me , the laptop was new anyway .",
I was said it 's videocard .,videocard
"- I give up on my data , I just want a computer reasonably fast ...",
"Wireless has not been a issue for me , like some others have meantioned .",Wireless
the laptop was really good and it goes really fast just the way i thought it would of run .,
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues !,
I work on a PC at home and have used Pc all through college .,
"When I got this laptop in 2007 to help me with school , I had a hard time from beginning .",
This a starter notebook .,
The screen almost looked like a barcode when it froze .,screen
No Viruses !,
This is not Best Buy 's fault .,
"Bottom line , I doubt you 'd be overly disappointed if you invest in this machine .",
"got another 1 , and same issue .",
"I would n't play a first - person shooter with this , mind , but if you wanted to run MS Office , email , chat , download a video , listen to music from a certain fruit - named music store , and were looking for a highly portable yet powerful netbook to do that all in , I 'd highly recommend checking this out .",MS Office
It 's perfect for everything and runs faster than an average pc !,runs
"I am definitely sold , and not going back to PCs for home use !",
They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later .,
I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat .,"tech support, online chat"
Great laptop that offers many great features !,features
I love it and will probably get another one when this goes to the Laptop in the sky ! !,
"Speaking of the browser , it too has problems .",browser
Finally set the unit back to HP after a month of hell .,
Not to mention the fact that your mac comes fully loaded with all necessary basic programs .,programs
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side .,"graphics, wireless switch"
With what I paid for this computer it should have had everything on it .,
If you shop around in the current market you can find a much better deal .,
Other than that its a great performing machine and well meets all my needs and more .,performing
"Also , because of the size and consistancy of the laptop computer , some websites would n't even attempt to work on the computer because of browser problems .","size, consistancy"
"For me , keys were starting to get stuck and would n't type very well .",keys
It was a Waste of money from day one !,
So this was great for me .,
I sent it back to Toshiba twice they covered it under the warranty .,warranty
The love part of my relationship with this laptop does n't take very long .,
Another Great thing is the Beast graphics .,Beast graphics
"So far , a great product .",
Even though the computer is larger they did not make the keyboard larger .,keyboard
It does n't heat up like my old laptop .,
Even out of warranty !,warranty
A couple things you should know :,
"I love the easy to see screen , and It works well for work , persoal or just play .","screen, works"
"There is a small red circle next to it with a x in the middle , and when I click on it it says : `` Consider replacing your battery `` and it does not hold full charge .","battery, charge"
I waited and waited and no laptop .,
"I love its solid build , light wt and excellent battery life ( for now ) .","build, wt, battery life"
"Thus , when you carry it at a slanted angle , the screen will `` topple '' or `` slide '' down , if you understand what I mean .",screen
This is a great little computer for the price .,price
"previous laptops were pc 's , still have them , but the mac osx is a clean and smooth operating system .","mac osx, operating system"
I think this ps was manufactured in the mid 90 's .,
In my opinion it was not as user friendly as I expected either .,
I got a mac as my HS graduation gift .,
You will not regret buying such a great thing like this !,
Keyboard could use some trimming .,Keyboard
I 've never had problems with viruses .,
I would like to have volume buttons rather than the adjustment that is on the front .,volume buttons
This thing is a lemon .,
"Features such as the Dashboard ( allows you to view frequently used tools like a calculator , weather forecast , movie times , calendar , computer post its etc .","Features, Dashboard"
Lord HAVE MERCY !,
Right size and weight for portability .,"size, weight, portability"
Recommended to people as their first laptop .,
This is great if you have several lectures back to back and do n't have a chance to charge during one of the lectures .,charge
And i would recommend this to anypne looking for a new laptop .,
"The ATI graphics card is a huge plus , definitely a good value if you need to be able to run some slightly older games that a Intel built - in card would have trouble with , such as Half - Life 2 or even World of Warcraft .","ATI graphics card, games, Intel built - in card"
"Everything about the Mac is not only visually appealing , but very easy to use .",use
"I took it home and within 30 min , it was freezing up and did the `` blue screen of death '' .",
It 's just as fast with one program open as it is with sixteen open .,program
Charger seems large for this class of computer .,Charger
The much lauded combined touch pad and clicker is a nightmare .,combined touch pad and clicker
I am now making a point to avoid their products and I hope my experience can serve as a warning to you as well .,
This computer does n't do that well with certain games it ca n't play some and it becomes too hot while playing games .,games
big mistake !,
Probably wo n't work either .,
The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills .,
It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine .,
"Accordingly , I have decided to NEVER purchase another HP product ( my five year old Compaq ) lasted 5 - years before the hard drive crashed .",hard drive
You can even run a parallels type program easily and run any leftover PC software that you absolutely can not be without .,"parallels type program, software"
DEFINITELY recommended ! ! !,
It was old but it was not till we bought the Dell did we realize how great it was .,
Got the computer back a month later and it was still broken sent it out again and they repaired it .,
ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke .,
"The cool thing about the Mac Book was that I went on my honeymoon and shot a bunch of pictures and movies with my iPhone , then I came back and put them onto my Macbook and made a pretty good DVD movie with all the pictures and videos from my trip .",
"I own a Hewlett Packard laptop and I 've had man problems with it since I bought in in Feb , 201",
only good thing is the graphics quality .,graphics quality
"Did I mention everything about it , from size to weight to keyboard screams BULK ?","size, weight, keyboard"
I 'm going to try and keep my old G4 on the road for as long as possible .,
"I got it back again and was told the motherboard had been replaced , so I was now on the SECOND motherboard within 3 months .","motherboard, motherboard"
"And at one point , they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop ( I bought the memory stick they recomended ) .","memory stick, memory, memory stick"
"The 17 inch screen is very large , but the computer is very light .",17 inch screen
"Long story , but after many calls to various offices , I was told that no one can override the depot and that managers do n't take phone calls or e / mails .",depot
Frustrated I hung up and tried to call back 3 days later to be told that it takes 2- 3 days for turnaround time .,
I am not happy at all with the product I purchased .,
So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand .,
"Love the speed , especially !",speed
I feel that enough people have Macs these days and that companies need to start making things more compatable than they used to be .,
"Just keep in mind the graphics is not dedicated so loading the movie almost took a minute , but it ran fairly smooth for a non - dedicated graphics card .","graphics, non - dedicated graphics card"
breaks easily .,
All was well .,
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good .,AC plug
It had the full sized touch pad with 2 buttons instead of just one .,touch pad
"Overall , I experienced a huge change in that my mac runs pretty fast compared to my old PC .",runs
"Windows XP SP2 caused many problems on the computer , so I had to remove it .",Windows XP SP2
"upon giving them the serial number the first thing I was told , was that it was out of warranty and I could pay to have it repaired .",warranty
There is a backlit keyboard which is perfect for typing in the dark .,backlit keyboard
"It was kind of a rebellion against PC in fact , and I am certainly glad I did .",
The only downfall is the volume control .,volume control
"My dad has one of the very first Toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !","works, ethernet"
Very fast boot up and shut down .,"boot up, shut down"
"Buy this if you like being tortured , teased , frustrated and wasting twice as much time as you spent using your old Mac .",
"It is always reliable , never bugged and responds well .",responds
very convenient when you travel and the battery life is excellent ...,battery life
It runs perfectly .,runs
It 's catatonic .,
It took Toshiba tech support 4 calls and 4 different techs to correct the problem .,"Toshiba tech support, techs"
The battery gets so HOT it is scary .,battery
little short on RAM but you get what you pay for .,RAM
They have more problems then a 1980 's computer .,
The Aspire wont even boot past the Acer screen with a Droid ( I have tried both Motorola and HTC ) plugged into the USB port .,"boot, Acer screen, USB port"
Everything about this computer is easy to use .,use
I have owned it only two months !,
I bought this laptop Was the worst Laptop I 've ever bought .,
Enjoy your sitdown,
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .,operating systems
"But then , something goes wrong .",
